city,state,country,population,Lat,Lon,hoods_city_id,hoods_city_name
Richmond,,CA,190473,49.16464475,-123.1388855,2517,Richmond
Richmond Hill,,CA,185541,43.87742143,-79.43458557,2809,Richmond Hill
Salt Lake City,UT,,181743,40.76083619,-111.8908489,127,Salt Lake City
Reno,NV,,180480,39.5295998,-119.8132877,89,Reno
Providence,RI,,177627,41.82395712,-71.41284503,134,Providence
Huntsville,AL,,176645,34.7303688,-86.5861037,131,Huntsville
Oceanside,CA,,169684,33.1958696,-117.3794834,143,Oceanside
Fort Lauderdale,FL,,165694,26.12234612,-80.14036064,144,Fort Lauderdale
Tempe,AZ,,161719,33.42354261,-111.9386673,149,Tempe
Santa Rosa,CA,,161496,38.4404674,-122.7144314,141,Santa Rosa
Salem ,OR,,155469,44.9428975,-123.0350963,154,Salem
Eugene,OR,,154620,44.0520691,-123.0867536,152,Eugene
Peoria,AZ,,154065,33.57826263,-112.2342682,156,Peoria
Springfield,MA,,153060,42.10161891,-72.58996582,158,Springfield
Hampton,VA,,145494,37.0298687,-76.3452218,183,Hampton
Sunnyvale,CA,,140081,37.36872768,-122.0367144,179,Sunnyvale
Cary,NC,,136637,35.79154,-78.7811169,187,Cary
Orange,CA,,136392,33.7877944,-117.8531119,185,Orange
Fullerton,CA,,135161,33.86898548,-117.9246712,188,Fullerton
Cairns,,AU,133893,-16.9251653,145.7686615,2930,Cairns
West Valley City,UT,,129480,40.69164574,-112.0016938,195,West Valley City
Olathe,KS,,127907,38.8760668,-94.81956482,202,Olathe
Topeka,KS,,126807,39.05558402,-95.68684877,198,Topeka
Bellevue,WA,,126626,47.610377,-122.2006786,210,Bellevue
Coquitlam,,CA,126456,49.28063212,-122.8017426,2523,Coquitlam
Concord,CA,,122067,37.97671613,-122.0353088,211,Concord
Miramar,FL,,122041,25.9722434,-80.286026,212,Miramar
Cambridge,,CA,120371,43.387086,-80.321045,2634,Cambridge
Kelowna,,CA,117312,49.88543298,-119.4884033,2545,Kelowna
Santa Clara,CA,,116468,37.35434669,-121.9559866,226,Santa Clara
Roseville,CA,,115781,38.7521235,-121.2880059,217,Roseville
Guelph,,CA,114943,43.539102,-80.247622,2611,Guelph
Ann Arbor,MI,,113934,42.28084941,-83.74334894,233,Ann Arbor
Berkeley,CA,,112580,37.87189749,-122.273498,236,Berkeley
Provo,UT,,112488,40.23392571,-111.6587644,237,Provo
Saanich,,CA,109752,48.45516427,-123.3730316,2527,Saanich
Miami Gardens,FL,,108862,25.9420377,-80.2456045,250,Miami Gardens
Redding,CA,,108741,40.5865396,-122.3916754,339,Redding
Thunder Bay,,CA,108359,48.38179396,-89.24743652,2625,Thunder Bay
Victorville,CA,,107721,34.5361067,-117.2911565,229,Victorville
Missoula,MT,,107320,46.872146,-113.9939982,518,Missoula
Carlsbad,CA,,106804,33.1580933,-117.3505939,262,Carlsbad
Clearwater,FL,,106592,27.96579313,-82.80005173,249,Clearwater
Cambridge,MA,,105594,42.3726399,-71.1096528,264,Cambridge
Lowell,MA,,105167,42.6334247,-71.3161718,253,Lowell
Langley Township,,CA,104177,49.09389928,-122.5720237,2529,Langley Township
Green Bay,WI,,104057,44.519159,-88.019826,268,Green Bay
Wilmington,NC,,101350,34.2257255,-77.9447102,254,Wilmington
Pompano Beach,FL,,99830,26.23463752,-80.12571032,286,Pompano Beach
Waterloo,,CA,97475,43.480926,-80.537664,2603,Waterloo
Boulder,CO,,96698,40.014887,-105.2712752,301,Boulder
Toowoomba,,AU,96567,-27.56598086,151.9529343,2935,Toowoomba
Albany,NY,,93539,42.6525793,-73.7562317,297,Albany
Newton,MA,,93447,42.3370413,-71.2092214,367,Newton
Quincy,MA,,92232,42.25275014,-71.00205592,325,Quincy
Kent,WA,,92135,47.3809587,-122.2354909,324,Kent
Yakima,WA,,91067,46.59257921,-120.5478076,333,Yakima
Renton,WA,,90743,47.48250297,-122.21415,334,Renton
Federal Way,WA,,89049,47.32280035,-122.312058,344,Federal Way
Miami Beach,FL,,87925,25.790654,-80.1300455,352,Miami Beach
Kamloops,,CA,85678,50.6734001,-120.331192,2530,Kamloops
Norwalk,CT,,85603,41.1175966,-73.4078968,363,Norwalk
Duluth,MN,,84419,46.7866719,-92.1004852,360,Duluth
Ashville,NC,,83393,35.59509276,-82.55418777,382,Asheville
Warwick,RI,,83005,41.70154952,-71.42142051,389,Warwick
Ogden,UT,,82825,41.22014933,-111.9745385,387,Ogden
Bellingham,WA,,80885,48.75890478,-122.4858856,399,Bellingham
Cranston ,RI,,80558,41.77828125,-71.43536652,404,Cranston
Bloomington,IN,,79905,39.16260186,-86.53324617,403,Bloomington
Victoria,,CA,78000,48.42883891,-123.3663495,2509,Victoria
Somerville,MA,,77405,42.3875968,-71.0994968,442,Somerville
Medford,OR,,77240,42.3265152,-122.8755949,453,Medford
New Rochelle,NY,,77062,40.90981101,-73.78266907,424,New Rochelle
Kendall,FL,,75371,25.66566587,-80.35949707,446,Kendall
St George,UT,,74770,37.10338413,-113.5746002,466,St. George
Cockburn,,AU,74472,-32.12603312,115.8550024,2960,Perth
Mackay,,AU,74219,-21.14827628,149.1854095,2933,Mackay
Maple Ridge,,CA,73969,49.21918245,-122.5988486,2503,Maple Ridge
Alameda,CA,,73812,37.76500295,-122.2404982,460,Alameda
Apple Valley,CA,,72922,34.5008311,-117.1858759,492,Apple Valley
Wilmington,DE,,72664,39.7458333,-75.5466667,480,Wilmington
Pawtucket,RI,,70781,41.8786616,-71.38631975,476,Pawtucket
Silver Spring,MD,,70779,38.99470613,-77.02556535,475,Silver Spring
Mountain View,CA,,70708,37.38652908,-122.0839906,458,Mountain View
Turlock,CA,,70158,37.4946568,-120.8465941,495,Turlock
Auburn,WA,,70028,47.30616863,-122.226056,485,Auburn
Lafayette,IN,,67140,40.4167022,-86.8752869,511,Lafayette
New Westminster,,CA,65976,49.20986073,-122.9175668,2516,New Westminster
Davis,CA,,65622,38.5449065,-121.7405167,535,Davis
Bunbury,,AU,64385,-33.33142705,115.6441498,2961,Bunbury
North Little Rock,AR,,62304,34.76942143,-92.2669439,570,North Little Rock
Rockhampton,,AU,61724,-23.38120122,150.5096054,2934,Rockhampton
Santa Cruz,CA,,59946,36.97367139,-122.0312255,606,Santa Cruz
Fountainebleau,FL,,59764,25.76835877,-80.3478241,609,Fountainebleau
Palo Alto,CA,,58598,37.44191747,-122.1420968,547,Palo Alto
North Miami,FL,,56185,25.8900949,-80.1867138,622,North Miami
Kendale Lakes,FL,,56148,25.7058875,-80.40893555,668,Kendale Lakes
Medford,MA,,55595,42.4184296,-71.1061639,666,Medford
Revere,MA,,55341,42.4084302,-71.0119948,740,Revere
Bethesda,MD,,55277,38.98428505,-77.09554605,589,Bethesda
Tamiami,FL,,55271,25.7553724,-80.39794922,683,Tamiami
Woodland,CA,,55270,38.6785157,-121.7732971,678,Woodland
Brookline,MA,,54809,42.3317642,-71.1211635,623,Brookline
South Jordan,UT,,54730,40.56256163,-111.9302588,763,South Jordan
Chapel Hill,NC,,54492,35.9131996,-79.0558445,647,Chapel Hill
North Port,FL,,54223,27.044224,-82.2359254,644,North Port
Corvallis,OR,,53476,44.56462705,-123.2614427,693,Corvallis
Shoreline,WA,,53025,47.7556531,-122.3415178,717,Shoreline
Wheaton,IL,,52894,41.86518035,-88.10650635,720,Wheaton
Sarasota,FL,,52578,27.3364347,-82.5306527,734,Sarasota
Oak Park ,IL,,52104,41.88487308,-87.78735351,738,Oak Park
The Hammocks,FL,,51003,25.66876032,-80.4473877,757,The Hammocks
Bundaberg,,AU,49750,-24.86761352,152.3491287,2936,Bundaberg
Bradenton,FL,,49456,27.4945677,-82.57427216,778,Bradenton
Hoboken,NJ,,49232,40.74335535,-74.03180122,770,Hoboken
North Vancouver,,CA,48196,49.31482768,-123.0764008,2533,North Vancouver
Kingsport,TN,,48190,36.5482961,-82.56173277,812,Kingsport
Country Club,FL,,47105,25.94507912,-80.31486511,841,Country Club
East Providence,RI,,47082,41.81467357,-71.37012291,842,East Providence
West Sacramento,CA,,46492,38.5804609,-121.530234,799,West Sacramento
Redmond,WA,,46391,47.6739881,-122.121512,700,Redmond
Doral,FL,,46000,25.8195424,-80.3553302,864,Doral
San Luis Obispo,CA,,45425,35.27925853,-120.6612968,873,San Luis Obispo
Kirkland,WA,,45054,47.6814875,-122.2087353,797,Kirkland
Glenview ,IL,,44692,42.06841032,-87.79466629,883,Glenview
Palm Springs,CA,,44552,33.83058129,-116.546086,884,Palm Springs
Elmhurst ,IL,,43996,41.89892468,-87.94114067,890,Elmhurst
Charlottesville,VA,,43475,38.0293059,-78.4766781,905,Charlottesville
Coral Gables,FL,,42871,25.72149,-80.2683838,845,Coral Gables
West Vancouver,,CA,42694,49.32959711,-123.1615448,2502,West Vancouver
Olympia,WA,,42514,47.03810808,-122.9015963,848,Olympia
Covington,KY,,41880,39.0836712,-84.5085536,977,Covington
Hollywood,FL,,41237,26.0106219,-80.14725215,178,Hollywood
Woonsocket,RI,,40859,42.00230566,-71.51065797,960,Woonsocket
Urbana,IL,,39484,40.1105875,-88.2072697,957,Urbana
Chelsea,MA,,38203,42.3917638,-71.0328284,1147,Chelsea
North Miami Beach,FL,,38201,25.9331488,-80.1625463,949,North Miami Beach
Everett,MA,,37269,42.40843,-71.0536625,942,Everett
Mission,,CA,36426,49.19875615,-122.4227142,2526,Mission
Kendall West,FL,,36154,25.70649783,-80.43880283,1101,Kendall West
Dover,DE,,35811,39.158168,-75.5243682,1105,Dover
South Miami Heights,FL,,35696,25.59385201,-80.38009644,1124,South Miami Heights
Bremerton,WA,,35191,47.57,-122.6525,1049,Bremerton
Hollister,CA,,35060,36.85236865,-121.4015377,1153,Hollister
West Little River,FL,,34699,25.85675197,-80.23590088,1161,West Little River
Ceres,CA,,34609,37.5949316,-120.9577098,868,Ceres
West Hollywood,CA,,34399,34.09052797,-118.3616352,1174,West Hollywood
Roseville,MN,,33690,45.00605242,-93.15727627,1202,Roseville
Bothell,WA,,33610,47.76214731,-122.2052318,1209,Bothell
Butte-Silver Bow,MT,,33525,46.00363936,-112.5357056,1205,Butte-Silver Bow
Highland Park,IL,,33492,42.18188261,-87.79965705,1377,Highland Park
Burien,WA,,33313,47.46971941,-122.345295,1218,Burien
Golden Glades,FL,,33148,25.90926209,-80.19813538,1226,Golden Glades
Gladstone,,AU,32073,-23.84903598,151.2616539,2937,Gladstone
Richmond West,FL,,31973,25.60809439,-80.42816162,1275,Richmond West
Wenatchee,WA,,31925,47.42209454,-120.3102493,1276,Wenatchee
Homestead,FL,,31909,25.4687224,-80.4775569,597,Homestead
Lacey,WA,,31226,47.03446765,-122.8238352,932,Lacey
Westchester,FL,,29862,25.75289864,-80.32653809,1370,Westchester
West Lafayette,IN,,29596,40.4258686,-86.9080655,1388,West Lafayette
Sherwood,AR,,29542,34.81494977,-92.22508778,1394,Sherwood
